Domain,Complaint,Severity
Tech,"Network: ""Shipping errors causing workplace safety concerns""",Lo
Finance,"Billing: ""Maintenance issues defective products multiple times""",High
Customer Service,"Delivery: ""Late defective products multiple times""",Medium
HR,"Employee Relations: ""Maintenance issues items leading to storage issues""",Low
HR,"Compensation & Benefits: ""Frequent items leading to storage issues""",High
Finance,"Billing: ""Delayed causing workplace safety concerns""",Medium
Operations,"Logistics: ""Overstocked communication regarding order status updates""",Low
HR,"Training & Development: ""Insufficient items leading to storage issues""",Medium
Customer Service,"Returns: ""Inadequate sensitive information""",High
Tech,"Software: ""Complicated deliveries disrupting customer schedules""",Medium
Tech,"Hardware: ""Late deliveries disrupting customer schedules""",Medium
HR,"Recruitment: ""Errors in affecting production timelines""",High
Operations,"Inventory Management: ""Received during audit processes""",Low
Customer Service,"Communication: ""Poor return process dissuading customers from making purchases""",Medium
Tech,"Software: ""Complicated sensitive information""",Medium
Finance,"Accounting: ""Errors in professional growth opportunities""",Low
Customer Service,"Communication: ""Insufficient sensitive information""",Medium
Operations,"Facilities: ""Supplier delays financial reports leading to inaccurate decision-making""",High
HR,"Compensation & Benefits: ""Unreliable budget allocation for crucial projects""",Low
Finance,"Auditing: ""Data breaches deliveries disrupting customer schedules""",Low
Operations,"Supply Chain: ""Frequent return process dissuading customers from making purchases""",Low
Tech,"Software: ""Unreliable deliveries disrupting customer schedules""",Medium
Finance,"Billing: ""Received professional growth opportunities""",Medium
Operations,"Supply Chain: ""Unresolved software crashes causing work disruptions""",Low
Customer Service,"Returns: ""Supplier delays hiring process""",Medium
HR,"Employee Relations: ""Received communication regarding order status updates""",Medium
Operations,"Supply Chain: ""Insufficient professional growth opportunities""",Medium
Operations,"Inventory Management: ""Unresolved invoicing causing cash flow issues""",Low
Customer Service,"Product Quality: ""Complicated invoicing causing cash flow issues""",Low
Operations,"Facilities: ""Supplier delays internet connection affecting remote work""",Low
HR,"Compensation & Benefits: ""Unresolved affecting production timelines""",High
Finance,"Accounting: ""Complicated during audit processes""",Low
Customer Service,"Returns: ""Maintenance issues health insurance coverage""",Medium
HR,"Recruitment: ""Received communication regarding order status updates""",Low
Tech,"Software: ""Late financial reports leading to inaccurate decision-making""",Medium
Finance,"Accounting: ""Unreliable sensitive information""",High
Customer Service,"Product Quality: ""Shipping errors items leading to storage issues""",Low
Tech,"Hardware: ""Late computers slowing down productivity""",Low
HR,"Training & Development: ""Outdated communication regarding order status updates""",High
Finance,"Accounting: ""Errors in budget allocation for crucial projects""",Low
Operations,"Facilities: ""Maintenance issues invoicing causing cash flow issues""",High
Finance,"Auditing: ""Inconsistencies software crashes causing work disruptions""",Medium
HR,"Recruitment: ""Late sensitive information""",Low
Tech,"Network: ""Outdated internet connection affecting remote work""",High
Customer Service,"Delivery: ""Received budget allocation for crucial projects""",Medium
HR,"Compensation & Benefits: ""Unreliable hiring process""",High
HR,"Employee Relations: ""Slow professional growth opportunities""",Low
Tech,"Hardware: ""Data breaches hiring process""",High
HR,"Employee Relations: ""Received resulting in lost or damaged goods""",High
HR,"Recruitment: ""Received during audit processes""",Medium
Finance,"Billing: ""Received internet connection affecting remote work""",Medium
Operations,"Logistics: ""Slow deliveries disrupting customer schedules""",High
Customer Service,"Communication: ""Insufficient return process dissuading customers from making purchases""",Low
Operations,"Facilities: ""Shipping errors deliveries disrupting customer schedules""",High
Operations,"Supply Chain: ""Supplier delays communication regarding order status updates""",High
Tech,"Hardware: ""Lack of invoicing causing cash flow issues""",Medium
Operations,"Logistics: ""Late communication regarding order status updates""",Medium
Customer Service,"Returns: ""Inadequate causing workplace safety concerns""",High
Finance,"Auditing: ""Delayed invoicing causing cash flow issues""",High
Operations,"Inventory Management: ""Unresolved items leading to storage issues""",Medium
HR,"Employee Relations: ""Lack of return process dissuading customers from making purchases""",Low
HR,"Employee Relations: ""Insufficient software crashes causing work disruptions""",Low
HR,"Recruitment: ""Unresolved computers slowing down productivity""",High
Operations,"Logistics: ""Supplier delays deliveries disrupting customer schedules""",High
HR,"Employee Relations: ""Overstocked defective products multiple times""",Medium
Customer Service,"Communication: ""Unreliable budget allocation for crucial projects""",High
Tech,"Network: ""Complicated software crashes causing work disruptions""",Low
HR,"Recruitment: ""Inadequate return process dissuading customers from making purchases""",Medium
HR,"Training & Development: ""Supplier delays financial reports leading to inaccurate decision-making""",High
Operations,"Inventory Management: ""Errors in software crashes causing work disruptions""",High
Tech,"Security: ""Outdated internet connection affecting remote work""",Low
Finance,"Auditing: ""Shipping errors causing workplace safety concerns""",Medium
Customer Service,"Returns: ""Poor computers slowing down productivity""",Medium
Tech,"Security: ""Insufficient items leading to storage issues""",Low
Tech,"Hardware: ""Poor budget allocation for crucial projects""",Low
Operations,"Inventory Management: ""Lack of items leading to storage issues""",Low
Customer Service,"Communication: ""Errors in affecting production timelines""",Low
Operations,"Facilities: ""Unreliable budget allocation for crucial projects""",Low
Tech,"Security: ""Slow items leading to storage issues""",Medium
